"Metabolites","class","PC1","PC2","PC3","PC4","PC5"
"lysoPC a C14:0","Glycerophospholipids",0.060871,-0.0050796,-0.061198,-0.020566,-0.016299
"SM (OH) C22:2","Sphingolipids",0.060537,-0.019006,-0.005534,0.02602,0.0017518
"HexCer(d18:2/20:0)","Glycosylceramides",0.060266,-0.027319,-0.019708,-0.020985,0.0025308
"PC aa C36:5","Glycerophospholipids",0.06015,0.014785,0.065554,0.026316,0.0010212
"Choline","Vitamins & Cofactors",0.060078,-0.017866,-0.023726,-0.056005,-0.0013829
"HexCer(d18:1/20:0)","Glycosylceramides",0.059888,0.0020713,-0.051943,0.00061439,-0.018677
"lysoPC a C16:1","Glycerophospholipids",0.059886,-0.01689,-0.044158,-0.04641,-0.0039879
"PC ae C42:4","Glycerophospholipids",0.059767,0.024308,0.044066,0.030722,-0.014561
"PC ae C36:3","Glycerophospholipids",0.059751,0.0040679,0.063404,-0.015044,0.015773
"TG(20:3_32:1)","Triacylglycerols",0.059743,-0.012816,0.059035,-0.033684,0.00084136
"lysoPC a C18:0","Glycerophospholipids",0.059721,-0.018606,-0.068481,-0.019401,0.0063665
"Cer(d18:2/18:0)","Ceramides",0.059666,-0.046171,-0.015222,-0.020642,-0.015242
"lysoPC a C26:1","Glycerophospholipids",0.059586,-0.0023341,-0.042719,0.023917,-0.015973
"Histamine","Biogenic Amines",0.059569,-0.023903,0.0044489,-0.022244,-0.043808
"PC aa C36:6","Glycerophospholipids",0.059534,0.016738,0.030675,0.057824,-0.013317
"HexCer(d18:1/24:1)","Glycosylceramides",0.059509,0.0075433,-0.03685,-0.0073166,-0.043006
"Cer(d18:1/24:1)","Ceramides",0.059443,-0.0094544,0.034918,0.006995,-0.013744
"Asp","Aminoacids",0.059431,-0.011216,-0.042409,-0.030763,0.0023354
"Cer(d18:1/22:0)","Ceramides",0.059237,-0.015057,-0.018017,0.017936,-0.049282
"EPA","Fatty Acids",0.059201,-0.019726,0.057819,0.016506,0.00094363
"PC ae C44:6","Glycerophospholipids",0.059177,0.0032617,-0.029698,-0.032271,-0.025058
"Hex2Cer(d18:1/20:0)","Glycosylceramides",0.059031,-0.023587,-0.014578,0.015334,-0.01161
"PC ae C36:2","Glycerophospholipids",0.059025,0.0051117,0.065865,-0.013954,0.018994
"PC ae C40:2","Glycerophospholipids",0.058998,0.022367,0.038806,0.052018,0.00040003
"Cer(d18:1/23:0)","Ceramides",0.058755,0.022733,0.032958,0.017058,-0.035762
"DG(18:1_18:2)","Diacylglycerols",0.058667,-0.0026429,-0.057786,-0.022363,-0.021192
"PC ae C32:2","Glycerophospholipids",0.05835,0.02579,0.066224,-0.011332,0.018614
"Cer(d18:1/20:0)","Ceramides",0.058317,0.022472,-0.041591,-0.034602,-0.012902
"Ser","Aminoacids",0.058294,-0.033237,-0.028441,0.010511,-0.029709
"PC ae C42:0","Glycerophospholipids",0.058268,0.049761,-0.023492,0.022413,0.032395
"AABA","Aminoacids Related",0.058139,0.012634,-0.025002,-0.043617,0.043785
"lysoPC a C28:1","Glycerophospholipids",0.057766,0.021458,-0.037619,-0.021334,0.01094
"Gly","Aminoacids",0.057581,0.00017925,0.063845,-0.0085848,0.0070488
"PC aa C40:6","Glycerophospholipids",0.057213,0.01932,-0.029821,0.039045,0.026753
"PC aa C40:1","Glycerophospholipids",0.056468,-0.0036536,-0.020265,0.0092876,-0.055589
"TG(18:1_38:6)","Triacylglycerols",0.056359,0.04906,0.012121,0.048729,-0.016532
"Cer(d18:2/24:1)","Ceramides",0.056254,-0.058638,0.015117,-0.030696,-0.017578
"Carnosine","Aminoacids Related",0.056041,0.012625,0.032408,-0.039161,-0.00705
"TG(18:3_32:0)","Triacylglycerols",0.055778,0.030761,0.010123,0.0034723,0.026182
"TG(18:3_38:6)","Triacylglycerols",0.055654,-0.022498,0.0020017,0.023029,0.0082097
"PC aa C40:4","Glycerophospholipids",0.055098,-0.0065122,-0.072091,-0.0093939,0.0063671
"Cer(d18:0/18:0)","Dihydroceramides",0.054684,0.0047201,0.040756,0.029714,-0.049223
"SM C26:1","Sphingolipids",0.054109,-0.033933,-0.0030796,0.05154,0.012577
"Cys","Aminoacids",0.054019,0.014466,0.02925,-0.0076711,-0.019073
"C6:1","Acylcarnitines",-0.053503,0.034364,-0.039393,0.018806,-0.024474
"FA(18:2)","Fatty Acids",0.05348,-0.0064484,-0.068604,-0.034625,-0.0040436
"Cer(d18:2/23:0)","Ceramides",0.053469,-0.024851,0.024944,0.018643,-0.037074
"TG(18:1_38:5)","Triacylglycerols",0.053413,0.041502,0.0054598,0.010408,-0.042891
"Spermidine","Biogenic Amines",0.05323,0.021821,0.051571,-0.031991,0.020823
"C18:2","Acylcarnitines",0.05312,0.023569,-0.015927,-0.039736,0.068375
"lysoPC a C18:1","Glycerophospholipids",0.053002,-0.02091,-0.071929,-0.045796,-0.0021328
"FA(18:1)","Fatty Acids",0.05298,-0.0061593,-0.040169,-0.060337,-0.0011322
"Hex2Cer(d18:1/16:0)","Glycosylceramides",0.052356,-0.025783,0.063983,0.01412,0.018106
"Met","Aminoacids",0.052345,-0.010617,-0.015652,0.065417,0.018005
"Hex2Cer(d18:1/14:0)","Glycosylceramides",0.052301,0.0039007,-0.078886,0.01703,0.013521
"1-Met-His","Aminoacids Related",0.052225,-0.016457,0.06529,-0.049061,0.045176
"TG(16:0_30:2)","Triacylglycerols",-0.052001,0.0069441,0.049707,0.043919,-0.030468
"PC aa C40:5","Glycerophospholipids",0.051808,0.027357,-0.07072,0.011916,0.021245
"3-Met-His","Aminoacids Related",0.051715,-0.051391,0.011175,-0.059932,0.0074829
"DG(14:0_18:2)","Diacylglycerols",0.051438,0.017188,-0.054316,-0.0029203,-0.017601
"lysoPC a C26:0","Glycerophospholipids",0.051378,0.0030945,-0.00767,0.039253,-0.039365
"Cer(d18:1/26:0)","Ceramides",0.051251,-0.0040704,0.0028618,-0.012054,-0.055768
"Ind-SO4","Indoles Derivatives",0.051165,0.022645,0.068717,0.047168,0.017641
"TG(16:0_38:4)","Triacylglycerols",0.050727,0.048677,-0.004403,0.032843,0.041147
"TG(17:2_34:3)","Triacylglycerols",0.050409,-0.06132,0.029934,-0.03523,0.00037208
"TG(18:2_38:4)","Triacylglycerols",0.050406,0.053991,-0.021463,-0.040336,0.016043
"GCA","Bile Acids",-0.050227,-0.019667,-0.028545,-0.013453,0.01746
"Met-SO","Aminoacids Related",0.049681,0.0021534,0.018245,0.066221,0.024376
"t4-OH-Pro","Aminoacids Related",0.049668,-0.0053966,0.076797,-0.013526,0.051574
"Arg","Aminoacids",0.049619,-0.040724,0.060403,-0.041767,0.039582
"BABA","Aminoacids Related",0.04943,0.0096982,0.0048436,0.027376,0.0018349
"TG(18:2_32:2)","Triacylglycerols",0.049355,0.065913,-0.0013699,0.0058124,-0.053978
"TG(22:0_32:4)","Triacylglycerols",-0.048991,0.029067,0.0020592,0.031664,0.015951
"C16","Acylcarnitines",0.04896,-0.014831,-0.018263,-0.078062,0.046778
"Cer(d18:1/24:0)","Ceramides",0.048956,-0.015641,0.010243,0.046357,0.013141
"PheAlaBetaine","Aminoacids Related",0.048773,0.0020512,0.0087113,0.0027517,-0.080425
"CE(20:0)","Cholesterol Esters",-0.048632,0.01452,-0.014447,-0.025044,-0.018355
"Orn","Aminoacids Related",0.048323,-0.029509,0.056749,0.039323,-0.039008
"beta-Ala","Biogenic Amines",0.048284,-0.016946,0.091043,-0.012002,0.0091301
"DG(16:0_16:0)","Diacylglycerols",0.048135,0.052312,-0.0082312,-0.024634,0.0027792
"Hex3Cer(d18:1/24:1)","Glycosylceramides",0.047959,-0.033095,0.069413,-0.016133,-0.02285
"lysoPC a C18:2","Glycerophospholipids",0.047593,-0.022959,-0.066549,-0.057861,0.0031736
"TG(20:4_34:1)","Triacylglycerols",0.047056,0.040407,-0.020438,-0.019596,0.018962
"Cer(d18:1/16:0)","Ceramides",0.047015,-0.04968,0.046375,0.00073519,-0.03003
"C16:1","Acylcarnitines",0.046934,0.0063991,-0.046968,-0.070476,0.045974
"Sarcosine","Aminoacids Related",0.046598,-0.014631,0.091275,-0.018937,0.013021
"Cer(d18:1/25:0)","Ceramides",0.046592,-0.027679,-0.014562,0.040937,-0.037029
"C12:1","Acylcarnitines",0.046515,0.0043173,-0.025022,-0.070039,0.0081967
"DG(18:2_20:4)","Diacylglycerols",0.04634,0.053524,-0.0058112,0.013337,0.044144
"Betaine","Aminoacids Related",-0.046156,0.0042267,0.00043087,0.057438,0.065715
"TMAO","Amine Oxides",0.046021,-0.0068497,0.089964,-0.022491,0.0073981
"TG(17:1_34:2)","Triacylglycerols",-0.04598,0.0077777,-0.042735,0.015211,-0.038643
"HexCer(d18:1/24:0)","Glycosylceramides",0.045933,0.03871,-0.060269,0.017792,-0.05511
"TG(16:0_36:5)","Triacylglycerols",0.045747,0.054861,0.043876,-0.027603,-0.0039171
"TG(17:2_38:7)","Triacylglycerols",-0.045421,-0.010707,0.072983,-0.011301,0.042994
"Hex2Cer(d18:1/22:0)","Glycosylceramides",0.044905,-0.011413,-0.036661,0.015277,-0.053105
"C14","Acylcarnitines",0.044654,-0.0022149,-0.046099,-0.072977,0.047713
"C18:1","Acylcarnitines",0.044339,0.001746,-0.039181,-0.068797,0.056162
"C14:1-OH","Acylcarnitines",0.043813,0.010242,-0.027746,-0.065754,-0.010797
"ADMA","Aminoacids Related",0.043232,-0.05749,0.066096,-0.039733,0.023271
"Suc","Carboxylic Acids",0.043165,0.061171,0.0037971,0.015541,-0.011162
"C5-M-DC","Acylcarnitines",-0.043109,-0.035809,-0.028717,0.025874,-0.037302
"TG(20:0_34:1)","Triacylglycerols",-0.042783,0.007337,-0.019749,0.028346,-0.037685
"Kynurenine","Aminoacids Related",0.042758,0.031865,0.0038107,-0.056121,-0.048289
"TCA","Bile Acids",0.042334,0.040707,0.027576,0.051785,-0.020769
"TG(18:1_30:1)","Triacylglycerols",-0.042082,0.058683,-0.04072,-0.0044624,0.036493
"TG(20:5_34:2)","Triacylglycerols",0.041952,0.043045,0.049319,-0.045955,0.031404
"GABA","Biogenic Amines",0.041843,-0.027999,-0.019268,0.027099,-0.053626
"AA","Fatty Acids",0.041707,-0.0020463,-0.056056,-0.071015,0.0021052
"Lys","Aminoacids",0.041669,-0.06705,0.026981,-0.054375,0.024847
"Cer(d18:2/24:0)","Ceramides",0.041623,-0.026389,0.011813,-0.068992,-0.060924
"Cer(d18:2/20:0)","Ceramides",0.041601,-0.00205,-0.036962,-0.018549,-0.069389
"PAG","Aminoacids Related",0.041459,-0.024406,-0.052834,0.020428,0.016755
"Cer(d18:0/20:0)","Dihydroceramides",0.041442,-0.022943,-0.030631,0.070559,-0.019259
"C16-OH","Acylcarnitines",0.041169,0.0074244,-0.077882,-0.057733,0.01195
"TG(14:0_34:3)","Triacylglycerols",0.041145,0.012685,-0.0026033,0.0032108,-0.020757
"TG(20:5_36:3)","Triacylglycerols",-0.040866,0.02178,-0.011325,-0.026301,-0.055356
"TG(16:1_36:3)","Triacylglycerols",0.040525,0.060667,-0.036482,0.029437,0.0018098
"HexCer(d18:1/16:0)","Glycosylceramides",0.040079,-0.0039505,0.067915,0.0097063,-0.021391
"c4-OH-Pro","Aminoacids Related",0.039653,0.00077198,0.080527,0.0033167,0.077702
"HexCer(d18:1/23:0)","Glycosylceramides",0.039162,0.0035113,-0.060688,-0.013359,-0.069276
"TG(17:2_36:4)","Triacylglycerols",-0.039097,-0.019744,0.043935,0.00069408,-0.017515
"lysoPC a C20:4","Glycerophospholipids",0.038969,-0.028994,-0.088016,-0.050237,-0.010849
"lysoPC a C20:3","Glycerophospholipids",0.038708,-0.032011,-0.079558,-0.060378,0.00012277
"HArg","Aminoacids Related",0.038674,-0.042864,0.066248,-0.042684,0.04227
"DG(16:0_16:1)","Diacylglycerols",0.038637,0.013469,0.0035369,0.0046411,-0.067066
"GCDCA","Bile Acids",0.038582,0.040222,0.035981,-0.012787,-0.032171
"DG(18:3_20:2)","Diacylglycerols",-0.038452,0.026678,0.024635,-0.059668,0.019407
"Cer(d18:0/22:0)","Dihydroceramides",-0.038315,0.030244,0.042768,-0.040863,0.042801
"C18","Acylcarnitines",0.038174,-0.015083,-0.064442,-0.075378,0.032044
"C10","Acylcarnitines",-0.038155,0.040328,0.057369,-0.042215,-0.017921
"TG(22:5_34:2)","Triacylglycerols",0.037824,0.040579,0.0028762,0.02426,-0.084288
"TG(16:1_28:0)","Triacylglycerols",0.037823,0.013356,0.00010179,-0.01198,0.019301
"HexCer(d18:2/24:0)","Glycosylceramides",0.037563,0.018433,-0.0048424,-0.002278,-0.030091
"C5:1","Acylcarnitines",0.037078,0.040331,-0.011366,0.051264,0.054407
"TG(18:2_33:2)","Triacylglycerols",-0.037074,0.014689,0.024825,-0.043727,-0.04298
"DG(18:1_18:1)","Diacylglycerols",0.037054,-0.013818,-0.091393,0.0096906,-0.011071
"DG(16:0_20:4)","Diacylglycerols",0.037048,0.021541,0.0043938,-0.030128,-0.067039
"TG(18:0_30:0)","Triacylglycerols",-0.037023,0.029852,0.066447,0.028114,0.041428
"TG(20:4_36:2)","Triacylglycerols",0.036959,0.041065,-0.033627,-0.065317,-0.019307
"CE(14:0)","Cholesterol Esters",-0.036595,-0.060164,0.0058712,-0.060469,-0.052226
"CE(17:0)","Cholesterol Esters",0.036049,0.019281,0.024153,0.040874,0.021735
"TG(20:1_26:1)","Triacylglycerols",-0.0354,0.036013,-0.026691,0.057038,0.018885
"TG(18:1_38:7)","Triacylglycerols",-0.035247,-0.039029,0.070963,-0.060878,-0.0026474
"C5","Acylcarnitines",0.035138,0.031217,0.058674,0.047125,0.0087225
"TG(20:4_36:4)","Triacylglycerols",0.034985,0.050767,0.027396,-0.019899,0.031811
"Cer(d18:2/16:0)","Ceramides",0.03497,-0.04936,0.023859,-0.030038,-0.040661
"TG(18:2_32:1)","Triacylglycerols",0.034963,0.093327,-0.003326,-0.0072769,-0.014944
"HexCer(d18:1/18:1)","Glycosylceramides",0.034597,-0.0039011,-0.038307,-0.01796,-0.01856
"Hex2Cer(d18:1/26:0)","Glycosylceramides",0.034386,-0.014301,-0.055814,0.026488,0.05345
"ProBetaine","Aminoacids Related",0.034339,0.031175,0.093963,0.045006,0.015983
"TG(18:0_32:0)","Triacylglycerols",-0.034273,0.040888,0.029761,-0.093644,-0.023894
"HexCer(d18:1/14:0)","Glycosylceramides",-0.034038,0.003288,0.024158,0.019604,-0.015285
"Cer(d16:1/22:0)","Ceramides",-0.033848,-0.03854,0.015934,-0.040711,-0.00043261
"TG(16:0_38:7)","Triacylglycerols",0.03378,0.0062428,0.018231,-0.053303,-5.511e-05
"TG(16:0_38:1)","Triacylglycerols",-0.033684,0.045818,0.034337,-0.047133,-0.043424
"TG(20:1_24:3)","Triacylglycerols",-0.033681,0.038021,-0.014115,0.0013365,-0.085649
"DG(18:1_18:4)","Diacylglycerols",-0.033526,0.041589,0.032399,-0.049564,0.0029346
"C18:1-OH","Acylcarnitines",0.033491,0.0017626,-0.094865,-0.045348,0.018571
"TG(14:0_38:5)","Triacylglycerols",-0.033418,0.035058,-0.0083783,-0.037836,-0.05976
"GDCA","Bile Acids",0.033251,-0.0030602,0.0013361,0.011975,-0.080989
"TMCA","Bile Acids",0.033186,0.037813,-0.003702,0.017828,-0.042544
"TG(16:0_32:0)","Triacylglycerols",-0.033048,0.067616,-0.066701,-0.029028,0.031261
"TG(16:0_28:1)","Triacylglycerols",-0.032764,0.048134,0.051598,-0.015988,0.050496
"Cer(d18:1/18:1)","Ceramides",0.032641,-0.0010578,0.055424,0.022535,0.061389
"C14:1","Acylcarnitines",0.032567,0.013242,-0.076673,-0.062268,0.028516
"TG(20:2_34:3)","Triacylglycerols",0.032157,-0.017381,0.013558,-0.011179,0.023462
"TG(20:4_34:2)","Triacylglycerols",0.032083,0.046354,-0.030679,-0.0089425,0.082267
"DG(16:1_18:2)","Diacylglycerols",0.031921,-0.013018,-0.048703,-0.0060505,-0.077045
"TG(16:0_38:6)","Triacylglycerols",0.03191,0.046487,0.022274,0.0033827,-0.054853
"TG(16:0_34:2)","Triacylglycerols",0.031892,0.06416,-0.037896,0.06185,0.014695
"C16:1-OH","Acylcarnitines",0.031791,0.012281,-0.09658,-0.046249,0.019099
"SM C20:2","Sphingolipids",-0.031563,-0.031363,-0.029499,0.0075476,0.074713
"TG(18:2_38:5)","Triacylglycerols",0.031479,0.069349,-0.017003,0.0061798,-0.020983
"Cer(d16:1/18:0)","Ceramides",0.031353,-0.057819,-0.033712,0.035686,-0.063353
"Cer(d18:2/22:0)","Ceramides",0.031232,-0.04552,-0.056553,-0.0094784,-0.070343
"TG(16:1_32:2)","Triacylglycerols",-0.031231,0.048162,-0.036129,0.012473,0.012723
"TG(18:1_34:2)","Triacylglycerols",0.031173,0.077481,-0.070703,-0.001488,0.031019
"DG(14:0_14:0)","Diacylglycerols",-0.031076,-0.0072684,0.0064472,-0.045734,-0.090897
"CE(18:0)","Cholesterol Esters",-0.030731,0.046769,0.040331,-0.0078961,0.012327
